time_seconds,temperature_C
0.001,13.25
1.003,10.50
2.005,8.75
3.007,8.00
4.009,7.25
5.010,7.00
6.012,6.50
7.014,6.25
8.016,6.25
9.018,6.00
10.019,5.50
11.021,5.50
12.023,5.50
13.025,5.50
14.027,5.00
15.028,5.00
16.030,4.75
17.032,5.00
18.034,4.50
19.035,4.75
20.037,4.75
21.039,5.00
22.041,4.75
23.043,5.00
24.044,4.50
25.046,4.75
26.048,4.00
27.050,4.75
28.052,4.50
29.053,4.75
30.055,4.75
31.057,4.25
32.059,4.50
33.060,4.75
34.062,4.75
35.064,4.00
36.066,4.75
37.068,4.50
38.069,4.25
39.071,4.50
40.073,4.50
41.075,4.50
42.077,4.00
43.078,4.00
44.080,4.25
45.082,3.75
46.084,4.00
47.085,4.50
48.087,3.75
49.089,4.50
50.091,4.25
51.093,4.50
52.094,4.50
53.096,4.25
54.098,4.50
55.100,4.25
56.101,4.50
57.103,4.25
58.105,4.25
59.107,4.50
60.109,4.50
61.110,5.50
62.112,20.25
63.114,35.25
64.116,50.50
65.117,60.50
66.119,68.75
67.121,74.25
68.123,78.50
69.125,81.00
70.126,83.75
71.128,84.75
72.130,85.75
73.132,87.00
74.133,87.50
75.135,88.25
76.137,88.50
77.139,89.00
78.141,89.50
79.142,89.50
80.144,90.00
81.146,90.50
82.148,89.50
83.149,91.00
84.151,90.75
85.153,92.00
86.155,91.25
87.157,91.75
88.158,92.00
89.160,91.50
90.162,91.00
91.164,92.25
92.165,92.25
93.167,91.75
94.169,92.00
95.171,91.75
96.173,92.50
97.174,92.50
98.176,92.00
99.178,92.50
100.180,92.00
101.181,92.25
102.183,92.50
103.185,92.50
104.187,92.00
105.189,92.25
106.190,92.25
107.192,92.25
108.194,92.75
109.196,92.25
110.197,92.00
111.199,92.00
112.201,92.75
113.203,92.00
114.205,92.00
115.206,92.50
116.208,92.00
117.210,92.50
118.212,92.50
119.214,92.00
120.215,91.50
121.217,90.75
122.219,85.75
123.221,79.25
124.222,75.75
125.224,74.00
126.226,72.50
127.228,70.75
128.230,69.50
129.231,68.00
130.233,67.25
131.235,65.75
132.237,65.00
133.239,64.25
134.240,63.25
135.242,61.75
136.244,61.75
137.246,60.75
138.248,59.75
139.249,59.25
140.251,58.00
141.253,58.00
142.255,57.25
143.256,56.50
144.258,56.00
145.260,55.25
146.262,54.25
147.264,53.75
148.265,53.25
149.267,53.00
150.269,52.50
151.271,51.50
152.272,51.50
153.277,51.00
154.279,50.75
155.281,50.25
156.282,49.75
157.284,49.25
158.286,49.00
159.288,48.50
160.290,47.75
161.291,47.75
162.293,47.50
163.295,46.75
164.297,46.50
165.299,46.25
166.300,46.00
167.302,45.75
168.304,44.75
169.306,45.00
170.307,44.50
171.309,44.25
172.311,43.50
173.313,43.75
174.315,43.50
175.316,43.25
176.318,43.00
177.320,42.25
178.322,42.25
179.323,41.75
