time_seconds,temperature_C
0.001,41.00
1.003,40.75
2.005,40.25
3.007,47.50
4.009,65.75
5.010,70.25
6.012,71.50
7.014,72.25
8.016,72.50
9.018,72.75
10.019,73.25
11.021,73.25
12.023,72.50
13.025,73.75
14.027,73.75
15.028,73.25
16.030,73.25
17.032,73.75
18.034,74.00
19.035,73.75
20.037,73.75
21.039,73.50
22.041,73.50
23.043,73.00
24.044,73.25
25.046,73.25
26.048,73.00
27.050,72.50
28.051,72.75
29.053,72.50
30.055,72.75
31.057,72.50
32.059,72.25
33.060,72.25
34.062,72.00
35.064,71.50
36.066,71.75
37.067,71.25
38.069,71.25
39.071,71.25
40.073,71.25
41.075,70.75
42.076,70.75
43.078,70.00
44.080,70.25
45.082,70.00
46.083,69.75
47.085,69.75
48.087,69.75
49.089,69.50
50.091,69.50
51.092,69.25
52.094,69.00
53.096,69.25
54.098,68.25
55.099,68.75
56.101,68.25
57.103,68.25
58.105,68.25
59.107,67.75
60.108,67.75
61.110,68.00
62.112,67.50
63.114,59.00
64.115,51.75
65.117,46.25
66.119,43.25
67.121,40.50
68.123,40.00
69.124,39.25
70.126,39.25
71.128,40.00
72.130,39.50
73.131,39.75
74.133,39.75
75.135,39.75
76.137,39.75
77.139,39.50
78.140,39.75
79.142,39.50
80.144,39.00
81.146,38.50
82.147,39.25
83.149,38.75
84.151,38.50
85.153,38.50
86.155,38.50
87.156,38.00
88.158,38.25
89.160,38.50
90.162,38.50
91.163,38.00
92.165,38.25
93.167,38.00
94.169,38.00
95.171,38.50
96.172,38.50
97.174,38.00
98.176,37.75
99.178,37.75
100.179,38.00
101.181,38.00
102.183,37.50
103.185,38.25
104.187,37.75
105.188,38.00
106.190,38.00
107.192,38.00
108.194,38.00
109.195,37.75
110.197,38.00
111.199,38.25
112.201,38.00
113.203,37.75
114.204,38.00
115.206,37.75
116.208,37.75
117.210,38.25
118.211,38.25
119.213,37.75
120.215,38.50
121.217,38.00
122.219,38.75
123.220,39.00
124.222,40.00
125.224,42.00
126.226,44.25
127.227,46.00
128.229,47.75
129.231,49.50
130.233,50.00
131.235,51.00
132.237,51.00
133.238,51.00
134.240,52.00
135.242,51.25
136.244,51.75
137.245,52.00
138.247,52.50
139.249,52.25
140.251,52.25
141.253,52.00
142.254,52.50
143.256,52.75
144.258,52.25
145.260,52.50
146.261,51.75
147.263,52.50
148.265,52.75
149.267,52.25
150.269,52.50
151.270,52.75
152.272,53.25
153.277,52.75
154.279,53.25
155.280,52.25
156.282,53.00
157.284,53.00
158.286,53.25
159.288,53.25
160.289,53.00
161.291,53.50
162.293,53.25
163.295,53.25
164.296,53.00
165.298,52.75
166.300,53.25
167.302,53.25
168.304,53.25
169.305,53.25
170.307,53.50
171.309,53.25
172.311,53.50
173.312,53.00
174.314,53.00
175.316,53.25
176.318,53.25
177.320,53.00
178.321,52.75
179.323,53.00
